{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 5,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run5
Episode:  162 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 14
Episode:  163 controlled agent:  1 ; Episode Return:  -337.0 ; win rate(coFntrolled & opponent):  0.09 0.13 ; Trained episode: 14
Episode:  164 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.13 ; Trained episode: 14
Episode:  165 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.13 ; Trained episode: 14
Episode:  166 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.13 ; Trained episode: 14
Episode:  167 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.13 ; Trained episode: 14
Episode:  168 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.12 ; Trained episode: 14
Episode:  169 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.12 ; Trained episode: 14
Episode:  170 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.12 ; Trained episode: 14
Episode:  171 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.12 ; Trained episode: 14
Episode:  172 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.12 ; Trained episode: 14
Episode:  173 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.12 ; Trained episode: 14
Episode:  174 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.12 ; Trained episode: 14
Episode:  175 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.12 ; Trained episode: 14
Episode:  176 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.12 ; Trained episode: 14
Episode:  177 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.12 ; Trained episode: 14
Episode:  178 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.12 ; Trained episode: 14
Episode:  179 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.12 ; Trained episode: 14
